condition,label,constantFreq,t_t_sub,t_d1_sub,t_d2_sub,t_t_basic,t_d1_basic,t_d2_basic,t_t_super,t_d1_super,t_d2_super,length_super,length_sub_label,length_basic,length_basic_label,length_super,length_super_label,p_s_sub,p_s_basic,p_s_super
item12,sub,0.0000221,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,7.029412,MED,3,LOW,3,LOW,,,
item22,sub,0.0000221,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,7.029412,MED,3,LOW,3,LOW,,,
item23,sub,0.0000221,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,7.029412,MED,3,LOW,3,LOW,,,
item33,sub,0.0000221,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,7.029412,MED,3,LOW,3,LOW,,,
item12,sub,0.0000221,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,7.029412,MED,3,LOW,7.029412,MED,,,
item22,sub,0.0000221,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,7.029412,MED,3,LOW,7.029412,MED,,,
item23,sub,0.0000221,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,7.029412,MED,3,LOW,7.029412,MED,,,
item33,sub,0.0000221,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,7.029412,MED,3,LOW,7.029412,MED,,,
item12,sub,0.0000221,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,7.029412,MED,3,LOW,13.13,HIGH,,,
item22,sub,0.0000221,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,7.029412,MED,3,LOW,13.13,HIGH,,,
item23,sub,0.0000221,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,7.029412,MED,3,LOW,13.13,HIGH,,,
item33,sub,0.0000221,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,7.029412,MED,3,LOW,13.13,HIGH,,,
item12,sub,0.0000221,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,7.029412,MED,7.029412,MED,7.029412,MED,,,
item22,sub,0.0000221,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,7.029412,MED,7.029412,MED,7.029412,MED,,,
item23,sub,0.0000221,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,7.029412,MED,7.029412,MED,7.029412,MED,,,
item33,sub,0.0000221,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,7.029412,MED,7.029412,MED,7.029412,MED,,,
item12,sub,0.0000221,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,7.029412,MED,13.13,HIGH,13.13,HIGH,,,
item22,sub,0.0000221,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,7.029412,MED,13.13,HIGH,13.13,HIGH,,,
item23,sub,0.0000221,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,7.029412,MED,13.13,HIGH,13.13,HIGH,,,
item33,sub,0.0000221,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,7.029412,MED,13.13,HIGH,13.13,HIGH,,,
item12,sub,0.0000221,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,7.029412,MED,7.029412,MED,3,LOW,,,
item22,sub,0.0000221,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,7.029412,MED,7.029412,MED,3,LOW,,,
item23,sub,0.0000221,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,7.029412,MED,7.029412,MED,3,LOW,,,
item33,sub,0.0000221,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,7.029412,MED,7.029412,MED,3,LOW,,,
item12,sub,0.0000221,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,7.029412,MED,13.13,HIGH,3,LOW,,,
item22,sub,0.0000221,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,7.029412,MED,13.13,HIGH,3,LOW,,,
item23,sub,0.0000221,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,7.029412,MED,13.13,HIGH,3,LOW,,,
item33,sub,0.0000221,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,7.029412,MED,13.13,HIGH,3,LOW,,,
item12,sub,0.0000221,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,7.029412,MED,7.029412,MED,13.13,HIGH,,,
item22,sub,0.0000221,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,7.029412,MED,7.029412,MED,13.13,HIGH,,,
item23,sub,0.0000221,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,7.029412,MED,7.029412,MED,13.13,HIGH,,,
item33,sub,0.0000221,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,7.029412,MED,7.029412,MED,13.13,HIGH,,,
item12,sub,0.0000221,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,7.029412,MED,13.13,HIGH,7.029412,MED,,,
item22,sub,0.0000221,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,7.029412,MED,13.13,HIGH,7.029412,MED,,,
item23,sub,0.0000221,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,7.029412,MED,13.13,HIGH,7.029412,MED,,,
item33,sub,0.0000221,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,7.029412,MED,13.13,HIGH,7.029412,MED,,,
item12,sub,0.0000221,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,13.13,HIGH,3,LOW,3,LOW,,,
item22,sub,0.0000221,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,13.13,HIGH,3,LOW,3,LOW,,,
item23,sub,0.0000221,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,13.13,HIGH,3,LOW,3,LOW,,,
item33,sub,0.0000221,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,13.13,HIGH,3,LOW,3,LOW,,,
item12,sub,0.0000221,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,13.13,HIGH,3,LOW,7.029412,MED,,,
item22,sub,0.0000221,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,13.13,HIGH,3,LOW,7.029412,MED,,,
item23,sub,0.0000221,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,13.13,HIGH,3,LOW,7.029412,MED,,,
item33,sub,0.0000221,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,13.13,HIGH,3,LOW,7.029412,MED,,,
item12,sub,0.0000221,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,13.13,HIGH,3,LOW,13.13,HIGH,,,
item22,sub,0.0000221,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,13.13,HIGH,3,LOW,13.13,HIGH,,,
item23,sub,0.0000221,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,13.13,HIGH,3,LOW,13.13,HIGH,,,
item33,sub,0.0000221,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,13.13,HIGH,3,LOW,13.13,HIGH,,,
item12,sub,0.0000221,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,13.13,HIGH,7.029412,MED,7.029412,MED,,,
item22,sub,0.0000221,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,13.13,HIGH,7.029412,MED,7.029412,MED,,,
item23,sub,0.0000221,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,13.13,HIGH,7.029412,MED,7.029412,MED,,,
item33,sub,0.0000221,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,13.13,HIGH,7.029412,MED,7.029412,MED,,,
item12,sub,0.0000221,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,13.13,HIGH,13.13,HIGH,13.13,HIGH,,,
item22,sub,0.0000221,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,13.13,HIGH,13.13,HIGH,13.13,HIGH,,,
item23,sub,0.0000221,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,13.13,HIGH,13.13,HIGH,13.13,HIGH,,,
item33,sub,0.0000221,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,13.13,HIGH,13.13,HIGH,13.13,HIGH,,,
item12,sub,0.0000221,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,13.13,HIGH,7.029412,MED,3,LOW,,,
item22,sub,0.0000221,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,13.13,HIGH,7.029412,MED,3,LOW,,,
item23,sub,0.0000221,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,13.13,HIGH,7.029412,MED,3,LOW,,,
item33,sub,0.0000221,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,13.13,HIGH,7.029412,MED,3,LOW,,,
item12,sub,0.0000221,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,13.13,HIGH,13.13,HIGH,3,LOW,,,
item22,sub,0.0000221,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,13.13,HIGH,13.13,HIGH,3,LOW,,,
item23,sub,0.0000221,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,13.13,HIGH,13.13,HIGH,3,LOW,,,
item33,sub,0.0000221,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,13.13,HIGH,13.13,HIGH,3,LOW,,,
item12,sub,0.0000221,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,13.13,HIGH,7.029412,MED,13.13,HIGH,,,
item22,sub,0.0000221,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,13.13,HIGH,7.029412,MED,13.13,HIGH,,,
item23,sub,0.0000221,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,13.13,HIGH,7.029412,MED,13.13,HIGH,,,
item33,sub,0.0000221,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,13.13,HIGH,7.029412,MED,13.13,HIGH,,,
item12,sub,0.0000221,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,13.13,HIGH,13.13,HIGH,7.029412,MED,,,
item22,sub,0.0000221,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,13.13,HIGH,13.13,HIGH,7.029412,MED,,,
item23,sub,0.0000221,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,13.13,HIGH,13.13,HIGH,7.029412,MED,,,
item33,sub,0.0000221,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,13.13,HIGH,13.13,HIGH,7.029412,MED,,,
